to_zero,cc
9,8
10,8
11,8
12,8
10,9
11,9
12,9
11,10
12,10
12,11
18,17
19,17
19,18
28,27
29,27
80,27
29,28
48,46
52,51
55,54
58,57
71,70
72,70
103,70
104,70
169,70
72,71
104,71
169,71
169,72
83,82
84,82
84,83
87,86
88,86
88,87
100,99
104,103
107,106
108,106
161,106
189,106
108,107
111,110
112,110
112,111
115,114
135,134
136,134
137,134
138,134
139,134
140,134
141,134
136,135
137,135
138,135
139,135
140,135
141,135
137,136
138,136
139,136
140,136
141,136
138,137
139,137
140,137
141,137
139,138
140,138
141,138
140,139
141,139
141,140
158,157
159,157
160,157
161,157
159,158
160,158
161,158
160,159
161,159
161,160
80,166
167,166
