cc,icd,version,year
2,0031,9,2009
112,00322,9,2009
37,00323,9,2009
37,00324,9,2009
112,0064,9,2009
5,0074,9,2009
2,0202,9,2009
112,0203,9,2009
112,0204,9,2009
112,0205,9,2009
112,0212,9,2009
112,0221,9,2009
2,0223,9,2009
5,0310,9,2009
5,0312,9,2009
31,03283,9,2009
2,0362,9,2009
37,03682,9,2009
2,0380,9,2009
2,03810,9,2009
2,03811,9,2009
2,03812,9,2009
2,03819,9,2009
2,0382,9,2009
2,0383,9,2009
2,03840,9,2009
2,03841,9,2009
2,03842,9,2009
2,03843,9,2009
2,03844,9,2009
2,03849,9,2009
2,0388,9,2009
2,0389,9,2009
112,0391,9,2009
104,0400,9,2009
32,0402,9,2009
2,04082,9,2009
1,042,9,2009
2,0545,9,2009
37,05671,9,2009
27,07022,9,2009
27,07023,9,2009
27,07032,9,2009
27,07033,9,2009
27,07044,9,2009
27,07054,9,2009
32,0723,9,2009
5,0785,9,2009
132,0786,9,2009
1,07953,9,2009
95,09487,9,2009
37,09850,9,2009
37,09851,9,2009
37,09852,9,2009
37,09853,9,2009
37,09859,9,2009
31,09886,9,2009
37,1026,9,2009
5,1124,9,2009
5,1125,9,2009
5,11284,9,2009
112,1140,9,2009
112,1144,9,2009
112,1145,9,2009
112,11505,9,2009
112,11515,9,2009
112,11595,9,2009
5,1173,9,2009
5,1175,9,2009
5,1177,9,2009
112,1212,9,2009
112,1221,9,2009
5,1300,9,2009
112,1304,9,2009
5,1308,9,2009
38,1361,9,2009
5,1363,9,2009
9,1410,9,2009
9,1411,9,2009
9,1412,9,2009
9,1413,9,2009
9,1414,9,2009
9,1415,9,2009
9,1416,9,2009
9,1418,9,2009
9,1419,9,2009
9,1420,9,2009
9,1421,9,2009
9,1422,9,2009
9,1428,9,2009
9,1429,9,2009
9,1430,9,2009
9,1431,9,2009
9,1438,9,2009
9,1439,9,2009
9,1440,9,2009
9,1441,9,2009
9,1448,9,2009
9,1449,9,2009
9,1450,9,2009
9,1451,9,2009
9,1452,9,2009
9,1453,9,2009
9,1454,9,2009
9,1455,9,2009
9,1456,9,2009
9,1458,9,2009
9,1459,9,2009
9,1460,9,2009
9,1461,9,2009
9,1462,9,2009
9,1463,9,2009
9,1464,9,2009
9,1465,9,2009
9,1466,9,2009
9,1467,9,2009
9,1468,9,2009
9,1469,9,2009
9,1470,9,2009
9,1471,9,2009
9,1472,9,2009
9,1473,9,2009
9,1478,9,2009
9,1479,9,2009
9,1480,9,2009
9,1481,9,2009
9,1482,9,2009
9,1483,9,2009
9,1488,9,2009
9,1489,9,2009
9,1490,9,2009
9,1491,9,2009
9,1498,9,2009
9,1499,9,2009
8,1500,9,2009
8,1501,9,2009
8,1502,9,2009
8,1503,9,2009
8,1504,9,2009
8,1505,9,2009
8,1508,9,2009
8,1509,9,2009
8,1510,9,2009
8,1511,9,2009
8,1512,9,2009
8,1513,9,2009
8,1514,9,2009
8,1515,9,2009
8,1516,9,2009
8,1518,9,2009
8,1519,9,2009
8,1520,9,2009
8,1521,9,2009
8,1522,9,2009
8,1523,9,2009
8,1528,9,2009
8,1529,9,2009
10,1530,9,2009
10,1531,9,2009
10,1532,9,2009
10,1533,9,2009
10,1534,9,2009
10,1535,9,2009
10,1536,9,2009
10,1537,9,2009
10,1538,9,2009
10,1539,9,2009
10,1540,9,2009
10,1541,9,2009
10,1542,9,2009
10,1543,9,2009
10,1548,9,2009
8,1550,9,2009
8,1551,9,2009
8,1552,9,2009
8,1560,9,2009
8,1561,9,2009
8,1562,9,2009
8,1568,9,2009
8,1569,9,2009
8,1570,9,2009
8,1571,9,2009
8,1572,9,2009
8,1573,9,2009
8,1574,9,2009
8,1578,9,2009
8,1579,9,2009
8,1580,9,2009
8,1588,9,2009
8,1589,9,2009
10,1590,9,2009
10,1591,9,2009
10,1598,9,2009
10,1599,9,2009
9,1600,9,2009
9,1601,9,2009
9,1602,9,2009
9,1603,9,2009
9,1604,9,2009
9,1605,9,2009
9,1608,9,2009
9,1609,9,2009
9,1610,9,2009
9,1611,9,2009
9,1612,9,2009
9,1613,9,2009
9,1618,9,2009
9,1619,9,2009
8,1620,9,2009
8,1622,9,2009
8,1623,9,2009
8,1624,9,2009
8,1625,9,2009
8,1628,9,2009
8,1629,9,2009
8,1630,9,2009
8,1631,9,2009
8,1638,9,2009
8,1639,9,2009
9,1640,9,2009
9,1641,9,2009
9,1642,9,2009
9,1643,9,2009
9,1648,9,2009
9,1649,9,2009
9,1650,9,2009
9,1658,9,2009
9,1659,9,2009
9,1700,9,2009
9,1701,9,2009
9,1702,9,2009
9,1703,9,2009
9,1704,9,2009
9,1705,9,2009
9,1706,9,2009
9,1707,9,2009
9,1708,9,2009
9,1709,9,2009
9,1710,9,2009
9,1712,9,2009
9,1713,9,2009
9,1714,9,2009
9,1715,9,2009
9,1716,9,2009
9,1717,9,2009
9,1718,9,2009
9,1719,9,2009
10,1720,9,2009
10,1721,9,2009
10,1722,9,2009
10,1723,9,2009
10,1724,9,2009
10,1725,9,2009
10,1726,9,2009
10,1727,9,2009
10,1728,9,2009
10,1729,9,2009
10,1740,9,2009
10,1741,9,2009
10,1742,9,2009
10,1743,9,2009
10,1744,9,2009
10,1745,9,2009
10,1746,9,2009
10,1748,9,2009
10,1749,9,2009
10,1750,9,2009
10,1759,9,2009
9,1760,9,2009
9,1761,9,2009
9,1762,9,2009
9,1763,9,2009
9,1764,9,2009
9,1765,9,2009
9,1768,9,2009
9,1769,9,2009
10,179,9,2009
10,1800,9,2009
10,1801,9,2009
10,1808,9,2009
10,1809,9,2009
9,181,9,2009
10,1820,9,2009
10,1821,9,2009
10,1828,9,2009
9,1830,9,2009
9,1832,9,2009
9,1833,9,2009
9,1834,9,2009
