icd,cc,version,year
A0103,115,10,2016
A0104,39,10,2016
A0105,39,10,2016
A021,2,10,2016
A0222,115,10,2016
A0223,39,10,2016
A0224,39,10,2016
A065,115,10,2016
A072,6,10,2016
A202,115,10,2016
A207,2,10,2016
A212,115,10,2016
A221,115,10,2016
A227,2,10,2016
A267,2,10,2016
A310,6,10,2016
A312,6,10,2016
A327,2,10,2016
A3681,85,10,2016
A3684,141,10,2016
A391,23,10,2016
A392,2,10,2016
A393,2,10,2016
A394,2,10,2016
A3983,39,10,2016
A3984,39,10,2016
A400,2,10,2016
A401,2,10,2016
A403,2,10,2016
A408,2,10,2016
A409,2,10,2016
A4101,2,10,2016
A4102,2,10,2016
A411,2,10,2016
A412,2,10,2016
A413,2,10,2016
A414,2,10,2016
A4150,2,10,2016
A4151,2,10,2016
A4152,2,10,2016
A4153,2,10,2016
A4159,2,10,2016
A4181,2,10,2016
A4189,2,10,2016
A419,2,10,2016
A420,115,10,2016
A427,2,10,2016
A430,115,10,2016
A480,106,10,2016
A481,114,10,2016
A483,2,10,2016
A5055,39,10,2016
A5440,39,10,2016
A5441,39,10,2016
A5442,39,10,2016
A5443,39,10,2016
A5449,39,10,2016
A5484,115,10,2016
A5485,33,10,2016
A5486,2,10,2016
A666,39,10,2016
A6923,39,10,2016
A8100,52,10,2016
A8101,52,10,2016
A8109,52,10,2016
A811,52,10,2016
A812,52,10,2016
A8181,52,10,2016
A8182,52,10,2016
A8183,52,10,2016
A8189,52,10,2016
A819,52,10,2016
A985,141,10,2016
B007,2,10,2016
B0082,72,10,2016
B0112,72,10,2016
B0224,72,10,2016
B0682,39,10,2016
B180,29,10,2016
B181,29,10,2016
B182,29,10,2016
B188,29,10,2016
B189,29,10,2016
B20,1,10,2016
B250,6,10,2016
B251,6,10,2016
B252,6,10,2016
B258,6,10,2016
B259,6,10,2016
B2685,39,10,2016
B3324,85,10,2016
B371,6,10,2016
B377,2,10,2016
B377,6,10,2016
B3781,6,10,2016
B380,115,10,2016
B381,115,10,2016
B382,115,10,2016
B390,115,10,2016
B391,115,10,2016
B392,115,10,2016
B400,115,10,2016
B401,115,10,2016
B402,115,10,2016
B410,115,10,2016
B4282,39,10,2016
B440,6,10,2016
B441,6,10,2016
B442,6,10,2016
B447,6,10,2016
B4481,112,10,2016
B4489,6,10,2016
B449,6,10,2016
B450,6,10,2016
B451,6,10,2016
B452,6,10,2016
B453,6,10,2016
B457,6,10,2016
B458,6,10,2016
B459,6,10,2016
B460,6,10,2016
B461,6,10,2016
B462,6,10,2016
B463,6,10,2016
B464,6,10,2016
B465,6,10,2016
B468,6,10,2016
B469,6,10,2016
B484,6,10,2016
B488,6,10,2016
B520,141,10,2016
B582,6,10,2016
B583,6,10,2016
B59,6,10,2016
B664,115,10,2016
B671,115,10,2016
B9735,1,10,2016
C01,11,10,2016
C020,11,10,2016
C021,11,10,2016
C022,11,10,2016
C023,11,10,2016
C024,11,10,2016
C028,11,10,2016
C029,11,10,2016
C030,11,10,2016
C031,11,10,2016
C039,11,10,2016
C040,11,10,2016
C041,11,10,2016
C048,11,10,2016
C049,11,10,2016
C050,11,10,2016
C051,11,10,2016
C052,11,10,2016
C058,11,10,2016
C059,11,10,2016
C060,11,10,2016
C061,11,10,2016
C062,11,10,2016
C0680,11,10,2016
C0689,11,10,2016
C069,11,10,2016
C07,11,10,2016
C080,11,10,2016
C081,11,10,2016
C089,11,10,2016
C090,11,10,2016
C091,11,10,2016
C098,11,10,2016
C099,11,10,2016
C100,11,10,2016
C101,11,10,2016
C102,11,10,2016
C103,11,10,2016
C104,11,10,2016
C108,11,10,2016
C109,11,10,2016
C110,11,10,2016
C111,11,10,2016
C112,11,10,2016
C113,11,10,2016
C118,11,10,2016
C119,11,10,2016
C12,11,10,2016
C130,11,10,2016
C131,11,10,2016
C132,11,10,2016
C138,11,10,2016
C139,11,10,2016
C140,11,10,2016
C142,11,10,2016
C148,11,10,2016
C153,9,10,2016
C154,9,10,2016
C155,9,10,2016
C158,9,10,2016
C159,9,10,2016
C160,9,10,2016
C161,9,10,2016
C162,9,10,2016
C163,9,10,2016
C164,9,10,2016
C165,9,10,2016
C166,9,10,2016
C168,9,10,2016
C169,9,10,2016
C170,9,10,2016
C171,9,10,2016
C172,9,10,2016
C173,9,10,2016
C178,9,10,2016
C179,9,10,2016
C180,11,10,2016
C181,11,10,2016
C182,11,10,2016
C183,11,10,2016
C184,11,10,2016
C185,11,10,2016
C186,11,10,2016
C187,11,10,2016
C188,11,10,2016
C189,11,10,2016
C19,11,10,2016
C20,11,10,2016
C210,11,10,2016
C211,11,10,2016
C212,11,10,2016
C218,11,10,2016
C220,9,10,2016
C221,9,10,2016
C222,9,10,2016
C223,9,10,2016
C224,9,10,2016
C227,9,10,2016
C228,9,10,2016
C229,9,10,2016
C23,9,10,2016
C240,9,10,2016
C241,9,10,2016
C248,9,10,2016
C249,9,10,2016
C250,9,10,2016
C251,9,10,2016
C252,9,10,2016
C253,9,10,2016
C254,9,10,2016
C257,9,10,2016
C258,9,10,2016
C259,9,10,2016
C260,11,10,2016
C261,11,10,2016
C269,11,10,2016
C300,11,10,2016
C301,11,10,2016
C310,11,10,2016
C311,11,10,2016
C312,11,10,2016
C313,11,10,2016
C318,11,10,2016
C319,11,10,2016
C320,11,10,2016
C321,11,10,2016
C322,11,10,2016
C323,11,10,2016
C328,11,10,2016
C329,11,10,2016
C33,9,10,2016
C3400,9,10,2016
C3401,9,10,2016
C3402,9,10,2016
C3410,9,10,2016
C3411,9,10,2016
C3412,9,10,2016
C342,9,10,2016
C3430,9,10,2016
C3431,9,10,2016
C3432,9,10,2016
C3480,9,10,2016
C3481,9,10,2016
C3482,9,10,2016
C3490,9,10,2016
C3491,9,10,2016
C3492,9,10,2016
C37,11,10,2016
C380,11,10,2016
C381,11,10,2016
C382,11,10,2016
C383,11,10,2016
C384,9,10,2016
C388,11,10,2016
C390,11,10,2016
C399,11,10,2016
C4000,10,10,2016
C4001,10,10,2016
C4002,10,10,2016
C4010,10,10,2016
C4011,10,10,2016
C4012,10,10,2016
C4020,10,10,2016
C4021,10,10,2016
C4022,10,10,2016
C4030,10,10,2016
C4031,10,10,2016
C4032,10,10,2016
C4080,10,10,2016
C4081,10,10,2016
C4082,10,10,2016
C4090,10,10,2016
C4091,10,10,2016
C4092,10,10,2016
C410,10,10,2016
C411,10,10,2016
C412,10,10,2016
C413,10,10,2016
C414,10,10,2016
C419,10,10,2016
C430,12,10,2016
C4310,12,10,2016
C4311,12,10,2016
C4312,12,10,2016
C4320,12,10,2016
C4321,12,10,2016
C4322,12,10,2016
C4330,12,10,2016
C4331,12,10,2016
C4339,12,10,2016
C434,12,10,2016
C4351,12,10,2016
C4352,12,10,2016
C4359,12,10,2016
C4360,12,10,2016
C4361,12,10,2016
C4362,12,10,2016
C4370,12,10,2016
C4371,12,10,2016
C4372,12,10,2016
